Team,NAME,Jersey,POS,AGE,HT,WT,COLLEGE,SALARY
Indiana Pacers,Buddy Hield,24,SG,30,"6' 4""",220 lbs,Oklahoma,"$19,279,841"
Indiana Pacers,George Hill,7,PG,37,"6' 4""",188 lbs,IUPUI,--
Indiana Pacers,Serge Ibaka,NA,F,34,"6' 10""",235 lbs,--,--
Indiana Pacers,Isaiah Jackson,22,SF,21,"6' 10""",206 lbs,Kentucky,"$2,696,280"
Indiana Pacers,James Johnson,16,PF,36,"6' 7""",240 lbs,Wake Forest,--
Indiana Pacers,Bennedict Mathurin,00,SG,21,"6' 6""",195 lbs,Arizona,"$6,916,080"
Indiana Pacers,T.J. McConnell,9,PG,31,"6' 1""",190 lbs,Arizona,"$8,700,000"
Indiana Pacers,Andrew Nembhard,2,PG,23,"6' 5""",193 lbs,Gonzaga,"$2,131,905"
Indiana Pacers,Aaron Nesmith,23,SF,23,"6' 5""",215 lbs,Vanderbilt,"$5,634,257"
Indiana Pacers,Jordan Nwora,13,SF,25,"6' 8""",225 lbs,Louisville,"$3,000,000"
Indiana Pacers,Ben Sheppard,NA,G,22,"6' 6""",190 lbs,Belmont,"$2,537,160"
Indiana Pacers,Jalen Smith,25,PF,23,"6' 9""",215 lbs,Maryland,"$5,604,192"
Indiana Pacers,Daniel Theis,27,C,31,"6' 8""",245 lbs,--,"$9,108,387"
Indiana Pacers,Obi Toppin,1,PF,25,"6' 9""",220 lbs,Dayton,"$6,803,012"
Indiana Pacers,Myles Turner,33,C,27,"6' 11""",250 lbs,Texas,"$20,975,000"
Indiana Pacers,Jarace Walker,NA,F,20,"6' 8""",240 lbs,Houston,"$6,059,520"
Indiana Pacers,Isaiah Wong,NA,G,22,"6' 4""",184 lbs,Miami,--
Indiana Pacers,Gabe York,32,G,30,"6' 3""",190 lbs,Arizona,--
LA Clippers,Nicolas Batum,33,PF,34,"6' 8""",230 lbs,--,"$11,710,818"
LA Clippers,Brandon Boston Jr.,4,SG,21,"6' 6""",188 lbs,Kentucky,"$1,836,096"
LA Clippers,Kobe Brown,NA,G,23,"6' 8""",250 lbs,Missouri,"$2,413,320"
LA Clippers,Amir Coffey,7,SG,26,"6' 7""",210 lbs,Minnesota,"$3,666,667"
LA Clippers,Robert Covington,23,PF,32,"6' 7""",209 lbs,Tennessee State,"$11,692,308"
LA Clippers,Moussa Diabate,25,F,21,"6' 11""",210 lbs,Michigan,--
LA Clippers,Paul George,13,F,33,"6' 8""",220 lbs,Fresno State,"$45,640,084"
LA Clippers,Bones Hyland,5,PG,23,"6' 2""",169 lbs,VCU,"$2,306,400"
LA Clippers,Kawhi Leonard,2,SF,32,"6' 7""",225 lbs,San Diego State,"$45,640,084"
LA Clippers,Terance Mann,14,SG,26,"6' 5""",215 lbs,Florida State,"$10,576,923"
LA Clippers,KJ Martin,NA,F,22,"6' 7""",215 lbs,--,"$1,930,681"
LA Clippers,Kenyon Martin Jr.,NA,F,22,"6' 7""",215 lbs,--,"$1,930,681"
LA Clippers,Jordan Miller,NA,G,23,"6' 7""",195 lbs,Miami,--
LA Clippers,Xavier Moon,15,PG,28,"6' 0""",165 lbs,Morehead State,--
LA Clippers,Marcus Morris Sr.,8,SF,34,"6' 8""",218 lbs,Kansas,"$17,116,279"
LA Clippers,Mason Plumlee,44,C,33,"7' 0""",254 lbs,Duke,"$5,000,000"
LA Clippers,Norman Powell,24,G,30,"6' 3""",215 lbs,UCLA,"$18,000,000"
LA Clippers,Jason Preston,17,PG,24,"6' 3""",181 lbs,Ohio,"$1,836,096"
LA Clippers,Russell Westbrook,0,PG,34,"6' 3""",200 lbs,UCLA,"$3,835,738"
LA Clippers,Ivica Zubac,40,C,26,"7' 0""",240 lbs,--,"$10,933,333"
Los Angeles Lakers,Damion Baugh,NA,G,23,"6' 4""",194 lbs,TCU,--
Los Angeles Lakers,Max Christie,10,G,20,"6' 5""",190 lbs,Michigan State,"$1,719,864"
Los Angeles Lakers,Anthony Davis,3,PF,30,"6' 10""",253 lbs,Kentucky,"$40,600,080"
Los Angeles Lakers,Wenyen Gabriel,35,F,26,"6' 9""",205 lbs,Kentucky,--
Los Angeles Lakers,Rui Hachimura,28,PF,25,"6' 8""",230 lbs,Gonzaga,"$15,740,741"
Los Angeles Lakers,Jaxson Hayes,10,C,23,"7' 0""",220 lbs,Texas,"$2,165,000"
Los Angeles Lakers,Jalen Hood-Schifino,NA,G,20,"6' 6""",215 lbs,Indiana,"$3,695,040"
Los Angeles Lakers,LeBron James,23,SF,38,"6' 9""",250 lbs,--,"$47,607,350"
Los Angeles Lakers,Maxwell Lewis,NA,F,21,"6' 7""",205 lbs,Pepperdine,"$1,119,563"
Los Angeles Lakers,Scotty Pippen Jr.,14,G,22,"6' 1""",185 lbs,Vanderbilt,--
Los Angeles Lakers,Taurean Prince,NA,PF,29,"6' 6""",218 lbs,Baylor,"$7,455,000"
Los Angeles Lakers,Austin Reaves,15,SG,25,"6' 5""",197 lbs,Oklahoma,"$12,015,150"
Los Angeles Lakers,Cam Reddish,NA,SF,24,"6' 8""",217 lbs,Duke,"$2,165,000"
Los Angeles Lakers,D'Angelo Russell,1,PG,27,"6' 4""",193 lbs,Ohio State,"$17,307,693"
Los Angeles Lakers,Vincent Valerio-Bodon,NA,SF,22,"6' 9""",200 lbs,--,--
Los Angeles Lakers,Jarred Vanderbilt,2,PF,24,"6' 8""",214 lbs,Kentucky,"$4,698,000"
Los Angeles Lakers,Gabe Vincent,NA,PG,27,"6' 3""",200 lbs,UC Santa Barbara,"$10,500,000"
Los Angeles Lakers,Christian Wood,NA,F,27,"6' 9""",214 lbs,UNLV,"$2,709,849"
Memphis Grizzlies,Steven Adams,4,C,30,"6' 11""",265 lbs,Pittsburgh,"$12,600,000"
Memphis Grizzlies,Santi Aldama,7,PF,22,"6' 11""",215 lbs,Loyola (MD),"$2,194,200"
